date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:20	152/152	---M-Z	200	added ('OK')	text/plain	etag:%2253923ec-14e-50e9ca73ddc05%22	http://www.performanceapex.org/robots.txt		(from )
22:25:20	25995/25995	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:21%20GMT	http://www.performanceapex.org/	C:/paorg/paorg/www.performanceapex.org/index.html	(from )
22:25:20	38608/38608	---M-Z	200	added ('OK')	text/css	etag:%2237addde-96d0-50e9ca73ff336%22	http://www.performanceapex.org/site.css?v=542940132	C:/paorg/paorg/www.performanceapex.org/site56f8.css	(from http://www.performanceapex.org/)
22:25:20	41007/41007	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b2c8bae6d3bbce1:0%22	http://img4.wsimg.com/starfield/duel/v2.5.7/duel.js?appid=O3BkA5J1	C:/paorg/paorg/img4.wsimg.com/starfield/duel/v2.5.7/duel35bd.js	(from http://www.performanceapex.org/)
22:25:21	25995/25995	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:21%20GMT	http://www.performanceapex.org/home.html	C:/paorg/paorg/www.performanceapex.org/home.html	(from http://www.performanceapex.org/)
22:25:21	18609/18609	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:22%20GMT	http://www.performanceapex.org/about.html	C:/paorg/paorg/www.performanceapex.org/about.html	(from http://www.performanceapex.org/)
22:25:22	22665/22665	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:22%20GMT	http://www.performanceapex.org/services.html	C:/paorg/paorg/www.performanceapex.org/services.html	(from http://www.performanceapex.org/)
22:25:22	12395/12395	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:22%20GMT	http://www.performanceapex.org/tips-and-tricks-blog.html	C:/paorg/paorg/www.performanceapex.org/tips-and-tricks-blog.html	(from http://www.performanceapex.org/)
22:25:22	15688/15688	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2003:25:23%20GMT	http://www.performanceapex.org/contact-us.html	C:/paorg/paorg/www.performanceapex.org/contact-us.html	(from http://www.performanceapex.org/)
22:25:22	407/407	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2003:25:23%20GMT	http://www.performanceapex.org/missing_page.html?page=336329	C:/paorg/paorg/www.performanceapex.org/missing_pagefe1c.html	(from http://www.performanceapex.org/)
22:25:26	263505/263505	---MCZ	200	added ('OK')	text/javascript	etag:%222421fac-40551-52650f4272ac0%22	http://s7.addthis.com/js/300/addthis_widget.js	C:/paorg/paorg/s7.addthis.com/js/300/addthis_widget.js	(from http://www.performanceapex.org/)
22:25:26	195/195	---M--	200	added ('OK')	image/png	etag:%22a11520f88341d01:0%22	https://img4.wsimg.com/wst/v7/WSB7_J_20150205_1330_WSB-12689_5111/v2/images/wsb-slideshow-nav-arrows-sprt.png	C:/paorg/paorg/img4.wsimg.com/wst/v7/WSB7_J_20150205_1330_WSB-12689_5111/v2/images/wsb-slideshow-nav-arrows-sprt.png	(from http://www.performanceapex.org/site.css?v=542940132)
22:25:26	415/415	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2003:25:27%20GMT	http://www.performanceapex.org/css!starfield/sf.core.css	C:/paorg/paorg/www.performanceapex.org/css!starfield/sf.core.css	(from http://img4.wsimg.com/starfield/duel/v2.5.7/duel.js?appid=O3BkA5J1)
